cliente_id,smdes1_bajo,smdes1_alto,smdes2_bajo,smdes2_alto,smdes3_bajo,smdes3_alto
10135358,11.0,17.0,18.0,20.0,21.0,250.0
10135374,21.0,32.0,33.0,39.0,40.0,250.0
10135551,20.0,30.0,31.0,37.0,38.0,250.0
10135557,8.0,11.0,12.0,14.0,15.0,100.0
10135597,45.0,67.0,68.0,82.0,83.0,400.0
10135611,150.0,225.0,226.0,275.0,276.0,1500.0
10135656,2.0,4.0,5.0,6.0,7.0,100.0
10136082,8.0,12.0,13.0,15.0,16.0,100.0
10136370,23.0,35.0,36.0,42.0,43.0,250.0
10136526,7.0,10.0,11.0,13.0,14.0,100.0
10136596,28.0,42.0,43.0,51.0,52.0,400.0
10136598,16.0,24.0,25.0,29.0,30.0,250.0
10136628,12.0,18.0,19.0,21.0,22.0,250.0
10141415,10.0,15.0,16.0,18.0,19.0,100.0
10142254,2.0,3.0,4.0,5.0,6.0,100.0
10142768,2.0,3.0,4.0,5.0,6.0,100.0
10143026,17.0,25.0,26.0,30.0,31.0,250.0
10143295,15.0,22.0,23.0,27.0,28.0,250.0
10151607,15.0,23.0,24.0,28.0,29.0,250.0
10478129,17.0,26.0,27.0,31.0,32.0,250.0
10663045,2.0,3.0,4.0,5.0,6.0,100.0
10735587,8.0,11.0,12.0,14.0,15.0,100.0
10856550,14.0,20.0,21.0,25.0,26.0,250.0
10987940,8.0,11.0,12.0,14.0,15.0,100.0
11003240,18.0,27.0,28.0,32.0,33.0,250.0
11003541,17.0,26.0,27.0,31.0,32.0,250.0
11013859,2.0,3.0,4.0,5.0,6.0,100.0
11028023,2.0,7.0,8.0,10.0,11.0,100.0
11041264,27.0,41.0,42.0,50.0,51.0,400.0
11045330,40.0,60.0,61.0,73.0,74.0,400.0
11057673,8.0,11.0,12.0,14.0,15.0,100.0
11098354,8.0,12.0,13.0,15.0,16.0,100.0
11100472,11.0,16.0,17.0,19.0,20.0,100.0
11118233,2.0,7.0,8.0,10.0,11.0,100.0
