"gerencia","centro","HL_YTD2025","HL_YTD2026","Crec_vs_LY_%","Aporte_Crec_Regional_%"
"PE Ger P4 Tarapoto","CD Pucallpa","166614.99","198195.86","19","86.3"
"PE Ger P4 Iquitos","CD Iquitos","180634.53","194316.55","7.6","37.4"
"PE Ger P4 DA Jun Puc","CD Satipo","0","11853.72",,"32.4"
"PE Ger P4 Pucall Hco","CD Pucallpa","175054.87","181969.17","3.9","18.9"
"PE Ger P4 Tarapoto","CD Yurimaguas","56539.36","62347.64","10.3","15.9"
"PE Ger P4 Pucall Hco","CD Huánuco","93894.1","97592.23","3.9","10.1"
"PE Ger P4 Tarapoto","CD San Benedicto I (Ate)","28419.02","32129.67","13.1","10.1"
"PE Ger P4 Iquitos","CD Pucallpa","19460.63","21036.21","8.1","4.3"
"PE Ger P4 Huancay Ch","CD Huancavelica","25538.53","26346.26","3.2","2.2"
"PE Ger P4 Pucall Hco","CD Tingo María","42663.79","43221.44","1.3","1.5"
"PE Ger P4 Tarapoto","CD Tarapoto","108667.03","109125.85","0.4","1.3"
"PE Ger P4 Tarapoto","CD Chiclayo","56.93","481.62","746","1.2"
"PE Ger P4 Huancay Ch","CD Chanchamayo","67969.15","68190.34","0.3","0.6"
"PE Ger P4 DA Jun Puc","CD Tingo María","0","75",,"0.2"
"PE Ger P4 DA Jun Puc","CD Huancavelica","2041.18","2065.5","1.2","0.1"
"PE Ger P4 Huancay Ch","CD Juliaca","0","20.59",,"0.1"
"PE Ger P4 Huancay Ch","CD Chiclayo","0","27.74",,"0.1"
"PE Ger P4 Huancay Ch","CD Arequipa","0","6.69",,"0"
"PE Ger P4 Huancay Ch","CD Callao","4.73","4.22","-10.8","0"
"PE Ger P4 Pucall Hco","CD Tarapoto","14.26","5.74","-59.7","0"
"PE Ger P4 Huancay Ch","CD Ica","6.6","0.64","-90.3","0"
"PE Ger P4 Pucall Hco","CD Rimac","0.41","0","-100","0"
"PE Ger P4 Iquitos","CD Tarapoto","0.08","0","-100","0"
"PE Ger P4 Pucall Hco","CD Moyobamba","1.06","0.46","-56.6","0"
"PE Ger P4 Huancay Ch","CD Motupe","0","7.16",,"0"
"PE Ger P4 Huancay Ch","CD Cusco","0","6.42",,"0"
"PE Ger P4 Pucall Hco","Pucallpa","0","0",,"0"
"PE Ger P4 Huancay Ch","CD Piura","5.81","2.38","-59","0"
"PE Ger P4 Pucall Hco","CD Yurimaguas","7.03","2.78","-60.5","0"
"PE Ger P4 Huancay Ch","CD Trujillo","0","9.21",,"0"
"PE Ger P4 Huancay Ch","CD San Benedicto I (Ate)","1.58","7.53","376.6","0"
"PE Ger P4 Huancay Ch","CD Cono Sur","0","13.01",,"0"
"PE Ger P4 Huancay Ch","HUB LURIN MKP","0","0",,"0"
"PE Ger P4 Huancay Ch","CD Rimac","0","1.29",,"0"
"PE Ger P4 Tarapoto","CD Cusco","28.46","0","-100","-0.1"
"PE Ger P4 Pucall Hco","CD Iquitos","195.81","139.73","-28.6","-0.2"
"PE Ger P4 Tarapoto","CD Moyobamba","71498.82","70690.75","-1.1","-2.2"
"PE Ger P4 DA Jun Puc","CD Huancayo","7865.24","6947.12","-11.7","-2.5"
"PE Ger P4 DA Jun Puc","CD San Benedicto I (Ate)","63435.51","61086.74","-3.7","-6.4"
"PE Ger P4 Tarapoto","CD Motupe","5080.63","2084.68","-59","-8.2"
"PE Ger P4 Huancay Ch","CD Huancayo","288601.62","283049.72","-1.9","-15.2"
"PE Ger P4 Huancay Ch","CD Satipo","71547.31","63777.55","-10.9","-21.2"
"PE Ger P4 DA Jun Puc","CD Huánuco","20836.27","9164.79","-56","-31.9"
"PE Ger P4 DA Jun Puc","CD Pucallpa","177103.3","164374.05","-7.2","-34.8"
